state_id,R_req,exact_optimal_set_size
trial02_episode01_task060,0.9999,1
trial02_episode01_task100,0.9,7
trial02_episode01_task100,0.99,7
trial02_episode01_task100,0.999,7
trial02_episode01_task100,0.9999,3
trial02_episode01_task140,0.9,7
trial02_episode01_task140,0.99,7
trial02_episode01_task140,0.999,6
trial02_episode01_task140,0.9999,1
trial02_episode01_task180,0.9,7
trial02_episode01_task180,0.99,7
trial02_episode01_task180,0.999,5
trial02_episode01_task180,0.9999,1
trial02_episode02_task020,0.9,7
trial02_episode02_task020,0.99,7
trial02_episode02_task020,0.999,7
trial02_episode02_task020,0.9999,5
trial02_episode02_task060,0.9,7
trial02_episode02_task060,0.99,7
trial02_episode02_task060,0.999,7
trial02_episode02_task060,0.9999,3
trial02_episode02_task100,0.9,7
trial02_episode02_task100,0.99,7
trial02_episode02_task100,0.999,7
trial02_episode02_task100,0.9999,5
trial02_episode02_task140,0.9,7
trial02_episode02_task140,0.99,7
trial02_episode02_task140,0.999,7
trial02_episode02_task140,0.9999,3
trial02_episode02_task180,0.9,7
trial02_episode02_task180,0.99,7
trial02_episode02_task180,0.999,7
trial02_episode02_task180,0.9999,3
trial02_episode03_task020,0.9,7
trial02_episode03_task020,0.99,7
trial02_episode03_task020,0.999,7
trial02_episode03_task020,0.9999,4
trial02_episode03_task060,0.9,7
trial02_episode03_task060,0.99,7
trial02_episode03_task060,0.999,6
trial02_episode03_task060,0.9999,3
trial02_episode03_task100,0.9,7
trial02_episode03_task100,0.99,7
trial02_episode03_task100,0.999,7
trial02_episode03_task100,0.9999,6
trial02_episode03_task140,0.9,7
trial02_episode03_task140,0.99,7
trial02_episode03_task140,0.999,6
trial02_episode03_task140,0.9999,2
trial02_episode03_task180,0.9,7
trial02_episode03_task180,0.99,7
trial02_episode03_task180,0.999,6
trial02_episode03_task180,0.9999,2
trial02_episode04_task020,0.9,7
trial02_episode04_task020,0.99,7
trial02_episode04_task020,0.999,7
trial02_episode04_task020,0.9999,4
trial02_episode04_task060,0.9,7
trial02_episode04_task060,0.99,7
trial02_episode04_task060,0.999,7
trial02_episode04_task060,0.9999,4
trial02_episode04_task100,0.9,7
trial02_episode04_task100,0.99,7
trial02_episode04_task100,0.999,7
trial02_episode04_task100,0.9999,6
trial02_episode04_task140,0.9,7
trial02_episode04_task140,0.99,7
trial02_episode04_task140,0.999,7
trial02_episode04_task140,0.9999,4
trial02_episode04_task180,0.9,7
trial02_episode04_task180,0.99,7
trial02_episode04_task180,0.999,7
trial02_episode04_task180,0.9999,4
trial02_episode05_task020,0.9,7
trial02_episode05_task020,0.99,7
trial02_episode05_task020,0.999,7
trial02_episode05_task020,0.9999,7
trial02_episode05_task060,0.9,7
trial02_episode05_task060,0.99,7
trial02_episode05_task060,0.999,7
trial02_episode05_task060,0.9999,7
trial02_episode05_task100,0.9,7
trial02_episode05_task100,0.99,7
trial02_episode05_task100,0.999,7
trial02_episode05_task100,0.9999,7
trial02_episode05_task140,0.9,7
trial02_episode05_task140,0.99,7
trial02_episode05_task140,0.999,7
trial02_episode05_task140,0.9999,7
trial02_episode05_task180,0.9,7
trial02_episode05_task180,0.99,7
trial02_episode05_task180,0.999,7
trial02_episode05_task180,0.9999,7
trial02_episode06_task020,0.9,7
trial02_episode06_task020,0.99,7
trial02_episode06_task020,0.999,6
trial02_episode06_task020,0.9999,1
trial02_episode06_task060,0.9,7
trial02_episode06_task060,0.99,7
trial02_episode06_task060,0.999,5
trial02_episode06_task060,0.9999,1
trial02_episode06_task100,0.9,7
trial02_episode06_task100,0.99,7
trial02_episode06_task100,0.999,7
trial02_episode06_task100,0.9999,3
trial02_episode06_task140,0.9,7
trial02_episode06_task140,0.99,7
trial02_episode06_task140,0.999,7
trial02_episode06_task140,0.9999,3
trial02_episode06_task180,0.9,7
trial02_episode06_task180,0.99,7
trial02_episode06_task180,0.999,4
trial02_episode06_task180,0.9999,1
trial02_episode07_task020,0.9,7
trial02_episode07_task020,0.99,7
trial02_episode07_task020,0.999,7
trial02_episode07_task020,0.9999,2
trial02_episode07_task060,0.9,7
trial02_episode07_task060,0.99,7
trial02_episode07_task060,0.999,6
trial02_episode07_task060,0.9999,2
trial02_episode07_task100,0.9,7
trial02_episode07_task100,0.99,7
trial02_episode07_task100,0.999,7
trial02_episode07_task100,0.9999,5
trial02_episode07_task140,0.9,7
trial02_episode07_task140,0.99,7
trial02_episode07_task140,0.999,7
trial02_episode07_task140,0.9999,1
trial02_episode07_task180,0.9,7
trial02_episode07_task180,0.99,7
trial02_episode07_task180,0.999,5
trial02_episode07_task180,0.9999,1
trial02_episode08_task020,0.9,7
trial02_episode08_task020,0.99,7
trial02_episode08_task020,0.999,7
trial02_episode08_task020,0.9999,2
trial02_episode08_task060,0.9,7
trial02_episode08_task060,0.99,7
trial02_episode08_task060,0.999,7
trial02_episode08_task060,0.9999,3
trial02_episode08_task100,0.9,7
trial02_episode08_task100,0.99,7
trial02_episode08_task100,0.999,7
trial02_episode08_task100,0.9999,7
trial02_episode08_task140,0.9,7
trial02_episode08_task140,0.99,7
trial02_episode08_task140,0.999,7
trial02_episode08_task140,0.9999,1
trial02_episode08_task180,0.9,7
trial02_episode08_task180,0.99,7
trial02_episode08_task180,0.999,6
trial02_episode08_task180,0.9999,1
trial02_episode09_task020,0.9,7
trial02_episode09_task020,0.99,7
trial02_episode09_task020,0.999,7
trial02_episode09_task020,0.9999,5
trial02_episode09_task060,0.9,7
trial02_episode09_task060,0.99,7
trial02_episode09_task060,0.999,7
trial02_episode09_task060,0.9999,5
trial02_episode09_task100,0.9,7
trial02_episode09_task100,0.99,7
trial02_episode09_task100,0.999,7
trial02_episode09_task100,0.9999,5
trial02_episode09_task140,0.9,7
trial02_episode09_task140,0.99,7
trial02_episode09_task140,0.999,7
trial02_episode09_task140,0.9999,5
trial02_episode09_task180,0.9,7
trial02_episode09_task180,0.99,7
trial02_episode09_task180,0.999,7
trial02_episode09_task180,0.9999,3
trial02_episode10_task020,0.9,7
trial02_episode10_task020,0.99,7
trial02_episode10_task020,0.999,5
trial02_episode10_task020,0.9999,1
trial02_episode10_task060,0.9,7
trial02_episode10_task060,0.99,7
trial02_episode10_task060,0.999,6
trial02_episode10_task060,0.9999,1
trial02_episode10_task100,0.9,7
trial02_episode10_task100,0.99,7
trial02_episode10_task100,0.999,6
trial02_episode10_task100,0.9999,1
trial02_episode10_task140,0.9,7
trial02_episode10_task140,0.99,7
trial02_episode10_task140,0.999,5
trial02_episode10_task140,0.9999,1
trial02_episode10_task180,0.9,7
trial02_episode10_task180,0.99,7
trial02_episode10_task180,0.999,2
trial02_episode10_task180,0.9999,1
trial02_episode11_task020,0.9,7
trial02_episode11_task020,0.99,7
trial02_episode11_task020,0.999,7
trial02_episode11_task020,0.9999,6
trial02_episode11_task060,0.9,7
trial02_episode11_task060,0.99,7
trial02_episode11_task060,0.999,7
trial02_episode11_task060,0.9999,6
trial02_episode11_task100,0.9,7
trial02_episode11_task100,0.99,7
trial02_episode11_task100,0.999,7
trial02_episode11_task100,0.9999,6
trial02_episode11_task140,0.9,7
trial02_episode11_task140,0.99,7
trial02_episode11_task140,0.999,7
trial02_episode11_task140,0.9999,6
trial02_episode11_task180,0.9,7
trial02_episode11_task180,0.99,7
trial02_episode11_task180,0.999,7
trial02_episode11_task180,0.9999,5
trial02_episode12_task020,0.9,7
trial02_episode12_task020,0.99,7
trial02_episode12_task020,0.999,7
trial02_episode12_task020,0.9999,3
trial02_episode12_task060,0.9,7
trial02_episode12_task060,0.99,7
trial02_episode12_task060,0.999,7
trial02_episode12_task060,0.9999,2
trial02_episode12_task100,0.9,7
trial02_episode12_task100,0.99,7
trial02_episode12_task100,0.999,7
trial02_episode12_task100,0.9999,4
trial02_episode12_task140,0.9,7
trial02_episode12_task140,0.99,7
trial02_episode12_task140,0.999,6
trial02_episode12_task140,0.9999,2
trial02_episode12_task180,0.9,7
trial02_episode12_task180,0.99,7
trial02_episode12_task180,0.999,6
trial02_episode12_task180,0.9999,1
trial02_episode13_task020,0.9,7
trial02_episode13_task020,0.99,7
trial02_episode13_task020,0.999,7
trial02_episode13_task020,0.9999,2
trial02_episode13_task060,0.9,7
trial02_episode13_task060,0.99,7
trial02_episode13_task060,0.999,7
trial02_episode13_task060,0.9999,2
trial02_episode13_task100,0.9,7
trial02_episode13_task100,0.99,7
trial02_episode13_task100,0.999,7
trial02_episode13_task100,0.9999,2
trial02_episode13_task140,0.9,7
trial02_episode13_task140,0.99,7
trial02_episode13_task140,0.999,6
trial02_episode13_task140,0.9999,1
trial02_episode13_task180,0.9,7
trial02_episode13_task180,0.99,7
trial02_episode13_task180,0.999,7
trial02_episode13_task180,0.9999,2
trial02_episode14_task020,0.9,7
trial02_episode14_task020,0.99,7
trial02_episode14_task020,0.999,7
trial02_episode14_task020,0.9999,3
trial02_episode14_task060,0.9,7
trial02_episode14_task060,0.99,7
trial02_episode14_task060,0.999,7
trial02_episode14_task060,0.9999,3
trial02_episode14_task100,0.9,7
trial02_episode14_task100,0.99,7
trial02_episode14_task100,0.999,7
trial02_episode14_task100,0.9999,5
trial02_episode14_task140,0.9,7
trial02_episode14_task140,0.99,7
trial02_episode14_task140,0.999,7
trial02_episode14_task140,0.9999,1
trial02_episode14_task180,0.9,7
trial02_episode14_task180,0.99,7
trial02_episode14_task180,0.999,7
trial02_episode14_task180,0.9999,5
trial02_episode15_task020,0.9,7
trial02_episode15_task020,0.99,7
trial02_episode15_task020,0.999,7
trial02_episode15_task020,0.9999,5
trial02_episode15_task060,0.9,7
trial02_episode15_task060,0.99,7
trial02_episode15_task060,0.999,6
trial02_episode15_task060,0.9999,3
trial02_episode15_task100,0.9,7
trial02_episode15_task100,0.99,7
trial02_episode15_task100,0.999,7
trial02_episode15_task100,0.9999,5
trial02_episode15_task140,0.9,7
trial02_episode15_task140,0.99,7
trial02_episode15_task140,0.999,5
trial02_episode15_task140,0.9999,2
trial02_episode15_task180,0.9,7
trial02_episode15_task180,0.99,7
trial02_episode15_task180,0.999,5
trial02_episode15_task180,0.9999,1
trial02_episode16_task020,0.9,7
trial02_episode16_task020,0.99,7
trial02_episode16_task020,0.999,7
trial02_episode16_task020,0.9999,5
trial02_episode16_task060,0.9,7
trial02_episode16_task060,0.99,7
trial02_episode16_task060,0.999,7
trial02_episode16_task060,0.9999,3
trial02_episode16_task100,0.9,7
trial02_episode16_task100,0.99,7
trial02_episode16_task100,0.999,7
trial02_episode16_task100,0.9999,6
trial02_episode16_task140,0.9,7
trial02_episode16_task140,0.99,7
trial02_episode16_task140,0.999,7
trial02_episode16_task140,0.9999,3
trial02_episode16_task180,0.9,7
trial02_episode16_task180,0.99,7
trial02_episode16_task180,0.999,7
trial02_episode16_task180,0.9999,2
trial02_episode17_task020,0.9,7
trial02_episode17_task020,0.99,7
trial02_episode17_task020,0.999,5
trial02_episode17_task020,0.9999,1
trial02_episode17_task060,0.9,7
trial02_episode17_task060,0.99,7
trial02_episode17_task060,0.999,5
trial02_episode17_task060,0.9999,1
trial02_episode17_task100,0.9,7
trial02_episode17_task100,0.99,7
trial02_episode17_task100,0.999,7
trial02_episode17_task100,0.9999,4
trial02_episode17_task140,0.9,7
trial02_episode17_task140,0.99,7
trial02_episode17_task140,0.999,5
trial02_episode17_task140,0.9999,1
trial02_episode17_task180,0.9,7
trial02_episode17_task180,0.99,7
trial02_episode17_task180,0.999,4
trial02_episode17_task180,0.9999,1
trial02_episode18_task020,0.9,7
trial02_episode18_task020,0.99,7
trial02_episode18_task020,0.999,7
trial02_episode18_task020,0.9999,2
trial02_episode18_task060,0.9,7
trial02_episode18_task060,0.99,7
trial02_episode18_task060,0.999,7
trial02_episode18_task060,0.9999,1
trial02_episode18_task100,0.9,7
trial02_episode18_task100,0.99,7
trial02_episode18_task100,0.999,7
trial02_episode18_task100,0.9999,5
trial02_episode18_task140,0.9,7
trial02_episode18_task140,0.99,7
trial02_episode18_task140,0.999,7
trial02_episode18_task140,0.9999,1
trial02_episode18_task180,0.9,7
trial02_episode18_task180,0.99,7
trial02_episode18_task180,0.999,6
trial02_episode18_task180,0.9999,1
trial02_episode19_task020,0.9,7
trial02_episode19_task020,0.99,7
trial02_episode19_task020,0.999,6
trial02_episode19_task020,0.9999,3
trial02_episode19_task060,0.9,7
trial02_episode19_task060,0.99,7
trial02_episode19_task060,0.999,6
trial02_episode19_task060,0.9999,3
trial02_episode19_task100,0.9,7
trial02_episode19_task100,0.99,7
trial02_episode19_task100,0.999,6
trial02_episode19_task100,0.9999,4
trial02_episode19_task140,0.9,7
trial02_episode19_task140,0.99,7
trial02_episode19_task140,0.999,5
trial02_episode19_task140,0.9999,3
trial02_episode19_task180,0.9,7
trial02_episode19_task180,0.99,7
trial02_episode19_task180,0.999,5
trial02_episode19_task180,0.9999,3
trial02_episode20_task020,0.9,7
trial02_episode20_task020,0.99,7
trial02_episode20_task020,0.999,6
trial02_episode20_task020,0.9999,1
trial02_episode20_task060,0.9,7
trial02_episode20_task060,0.99,7
trial02_episode20_task060,0.999,4
trial02_episode20_task060,0.9999,1
trial02_episode20_task100,0.9,7
trial02_episode20_task100,0.99,7
trial02_episode20_task100,0.999,7
trial02_episode20_task100,0.9999,7
trial02_episode20_task140,0.9,7
trial02_episode20_task140,0.99,7
trial02_episode20_task140,0.999,7
trial02_episode20_task140,0.9999,2
trial02_episode20_task180,0.9,7
trial02_episode20_task180,0.99,7
trial02_episode20_task180,0.999,7
trial02_episode20_task180,0.9999,2
trial03_episode01_task020,0.9,7
trial03_episode01_task020,0.99,7
trial03_episode01_task020,0.999,7
trial03_episode01_task020,0.9999,1
trial03_episode01_task060,0.9,7
trial03_episode01_task060,0.99,7
trial03_episode01_task060,0.999,7
trial03_episode01_task060,0.9999,1
trial03_episode01_task100,0.9,7
trial03_episode01_task100,0.99,7
trial03_episode01_task100,0.999,7
trial03_episode01_task100,0.9999,3
trial03_episode01_task140,0.9,7
trial03_episode01_task140,0.99,7
trial03_episode01_task140,0.999,7
trial03_episode01_task140,0.9999,1
trial03_episode01_task180,0.9,7
trial03_episode01_task180,0.99,7
trial03_episode01_task180,0.999,6
trial03_episode01_task180,0.9999,1
trial03_episode02_task020,0.9,7
trial03_episode02_task020,0.99,7
trial03_episode02_task020,0.999,7
trial03_episode02_task020,0.9999,5
trial03_episode02_task060,0.9,7
trial03_episode02_task060,0.99,7
trial03_episode02_task060,0.999,7
trial03_episode02_task060,0.9999,4
trial03_episode02_task100,0.9,7
trial03_episode02_task100,0.99,7
trial03_episode02_task100,0.999,7
trial03_episode02_task100,0.9999,6
trial03_episode02_task140,0.9,7
trial03_episode02_task140,0.99,7
trial03_episode02_task140,0.999,7
trial03_episode02_task140,0.9999,3
trial03_episode02_task180,0.9,7
trial03_episode02_task180,0.99,7
trial03_episode02_task180,0.999,7
trial03_episode02_task180,0.9999,1
trial03_episode03_task020,0.9,7
trial03_episode03_task020,0.99,7
trial03_episode03_task020,0.999,7
trial03_episode03_task020,0.9999,7
trial03_episode03_task060,0.9,7
trial03_episode03_task060,0.99,7
trial03_episode03_task060,0.999,7
trial03_episode03_task060,0.9999,7
trial03_episode03_task100,0.9,7
trial03_episode03_task100,0.99,7
trial03_episode03_task100,0.999,7
trial03_episode03_task100,0.9999,6
trial03_episode03_task140,0.9,7
trial03_episode03_task140,0.99,7
trial03_episode03_task140,0.999,7
trial03_episode03_task140,0.9999,3
trial03_episode03_task180,0.9,7
trial03_episode03_task180,0.99,7
trial03_episode03_task180,0.999,7
trial03_episode03_task180,0.9999,3
trial03_episode04_task020,0.9,7
trial03_episode04_task020,0.99,7
trial03_episode04_task020,0.999,7
trial03_episode04_task020,0.9999,2
trial03_episode04_task060,0.9,7
trial03_episode04_task060,0.99,7
trial03_episode04_task060,0.999,7
trial03_episode04_task060,0.9999,2
trial03_episode04_task100,0.9,7
trial03_episode04_task100,0.99,7
trial03_episode04_task100,0.999,7
trial03_episode04_task100,0.9999,4
trial03_episode04_task140,0.9,7
trial03_episode04_task140,0.99,7
trial03_episode04_task140,0.999,5
trial03_episode04_task140,0.9999,2
trial03_episode04_task180,0.9,7
trial03_episode04_task180,0.99,7
trial03_episode04_task180,0.999,4
trial03_episode04_task180,0.9999,1
trial03_episode05_task020,0.9,7
trial03_episode05_task020,0.99,7
trial03_episode05_task020,0.999,7
trial03_episode05_task020,0.9999,5
trial03_episode05_task060,0.9,7
trial03_episode05_task060,0.99,7
trial03_episode05_task060,0.999,7
trial03_episode05_task060,0.9999,4
trial03_episode05_task100,0.9,7
trial03_episode05_task100,0.99,7
trial03_episode05_task100,0.999,7
trial03_episode05_task100,0.9999,5
trial03_episode05_task140,0.9,7
trial03_episode05_task140,0.99,7
trial03_episode05_task140,0.999,7
trial03_episode05_task140,0.9999,3
trial03_episode05_task180,0.9,7
trial03_episode05_task180,0.99,7
trial03_episode05_task180,0.999,6
trial03_episode05_task180,0.9999,3
trial03_episode06_task020,0.9,7
trial03_episode06_task020,0.99,7
trial03_episode06_task020,0.999,5
trial03_episode06_task020,0.9999,1
trial03_episode06_task060,0.9,7
trial03_episode06_task060,0.99,7
trial03_episode06_task060,0.999,4
trial03_episode06_task060,0.9999,3
trial03_episode06_task100,0.9,7
trial03_episode06_task100,0.99,7
trial03_episode06_task100,0.999,7
trial03_episode06_task100,0.9999,2
trial03_episode06_task140,0.9,7
trial03_episode06_task140,0.99,7
trial03_episode06_task140,0.999,7
trial03_episode06_task140,0.9999,1
trial03_episode06_task180,0.9,7
trial03_episode06_task180,0.99,7
trial03_episode06_task180,0.999,4
trial03_episode06_task180,0.9999,2
trial03_episode07_task020,0.9,7
trial03_episode07_task020,0.99,7
trial03_episode07_task020,0.999,7
trial03_episode07_task020,0.9999,4
trial03_episode07_task060,0.9,7
trial03_episode07_task060,0.99,7
trial03_episode07_task060,0.999,7
trial03_episode07_task060,0.9999,3
trial03_episode07_task100,0.9,7
trial03_episode07_task100,0.99,7
trial03_episode07_task100,0.999,7
trial03_episode07_task100,0.9999,5
trial03_episode07_task140,0.9,7
trial03_episode07_task140,0.99,7
trial03_episode07_task140,0.999,7
trial03_episode07_task140,0.9999,2
trial03_episode07_task180,0.9,7
trial03_episode07_task180,0.99,7
trial03_episode07_task180,0.999,7
trial03_episode07_task180,0.9999,5
trial03_episode08_task020,0.9,7
trial03_episode08_task020,0.99,7
trial03_episode08_task020,0.999,6
trial03_episode08_task020,0.9999,3
trial03_episode08_task060,0.9,7
trial03_episode08_task060,0.99,7
trial03_episode08_task060,0.999,6
trial03_episode08_task060,0.9999,3
trial03_episode08_task100,0.9,7
trial03_episode08_task100,0.99,7
trial03_episode08_task100,0.999,7
trial03_episode08_task100,0.9999,4
trial03_episode08_task140,0.9,7
trial03_episode08_task140,0.99,7
trial03_episode08_task140,0.999,6
trial03_episode08_task140,0.9999,1
trial03_episode08_task180,0.9,7
trial03_episode08_task180,0.99,7
trial03_episode08_task180,0.999,6
trial03_episode08_task180,0.9999,1
trial03_episode09_task020,0.9,7
trial03_episode09_task020,0.99,7
trial03_episode09_task020,0.999,7
trial03_episode09_task020,0.9999,5
trial03_episode09_task060,0.9,7
trial03_episode09_task060,0.99,7
trial03_episode09_task060,0.999,7
trial03_episode09_task060,0.9999,3
trial03_episode09_task100,0.9,7
trial03_episode09_task100,0.99,7
trial03_episode09_task100,0.999,7
trial03_episode09_task100,0.9999,6
trial03_episode09_task140,0.9,7
trial03_episode09_task140,0.99,7
trial03_episode09_task140,0.999,7
trial03_episode09_task140,0.9999,2
trial03_episode09_task180,0.9,7
trial03_episode09_task180,0.99,7
trial03_episode09_task180,0.999,6
trial03_episode09_task180,0.9999,2
trial03_episode10_task020,0.9,7
trial03_episode10_task020,0.99,7
trial03_episode10_task020,0.999,7
trial03_episode10_task020,0.9999,2
trial03_episode10_task060,0.9,7
trial03_episode10_task060,0.99,7
trial03_episode10_task060,0.999,7
trial03_episode10_task060,0.9999,2
trial03_episode10_task100,0.9,7
trial03_episode10_task100,0.99,7
trial03_episode10_task100,0.999,7
trial03_episode10_task100,0.9999,5
trial03_episode10_task140,0.9,7
trial03_episode10_task140,0.99,7
trial03_episode10_task140,0.999,7
trial03_episode10_task140,0.9999,1
trial03_episode10_task180,0.9,7
trial03_episode10_task180,0.99,7
trial03_episode10_task180,0.999,7
trial03_episode10_task180,0.9999,1
trial03_episode11_task020,0.9,7
trial03_episode11_task020,0.99,7
trial03_episode11_task020,0.999,5
trial03_episode11_task020,0.9999,2
trial03_episode11_task060,0.9,7
trial03_episode11_task060,0.99,7
trial03_episode11_task060,0.999,6
trial03_episode11_task060,0.9999,1
trial03_episode11_task100,0.9,7
trial03_episode11_task100,0.99,7
trial03_episode11_task100,0.999,6
trial03_episode11_task100,0.9999,1
trial03_episode11_task140,0.9,7
trial03_episode11_task140,0.99,7
trial03_episode11_task140,0.999,3
trial03_episode11_task140,0.9999,1
trial03_episode11_task180,0.9,7
trial03_episode11_task180,0.99,7
trial03_episode11_task180,0.999,4
trial03_episode11_task180,0.9999,1
trial03_episode12_task020,0.9,7
trial03_episode12_task020,0.99,7
trial03_episode12_task020,0.999,7
trial03_episode12_task020,0.9999,2
trial03_episode12_task060,0.9,7
trial03_episode12_task060,0.99,7
trial03_episode12_task060,0.999,7
trial03_episode12_task060,0.9999,3
trial03_episode12_task100,0.9,7
trial03_episode12_task100,0.99,7
trial03_episode12_task100,0.999,7
trial03_episode12_task100,0.9999,5
trial03_episode12_task140,0.9,7
trial03_episode12_task140,0.99,7
trial03_episode12_task140,0.999,7
trial03_episode12_task140,0.9999,1
trial03_episode12_task180,0.9,7
trial03_episode12_task180,0.99,7
trial03_episode12_task180,0.999,5
trial03_episode12_task180,0.9999,1
trial03_episode13_task020,0.9,7
trial03_episode13_task020,0.99,7
trial03_episode13_task020,0.999,7
trial03_episode13_task020,0.9999,5
trial03_episode13_task060,0.9,7
trial03_episode13_task060,0.99,7
trial03_episode13_task060,0.999,7
trial03_episode13_task060,0.9999,5
trial03_episode13_task100,0.9,7
trial03_episode13_task100,0.99,7
trial03_episode13_task100,0.999,7
trial03_episode13_task100,0.9999,5
trial03_episode13_task140,0.9,7
trial03_episode13_task140,0.99,7
trial03_episode13_task140,0.999,7
trial03_episode13_task140,0.9999,5
trial03_episode13_task180,0.9,7
trial03_episode13_task180,0.99,7
trial03_episode13_task180,0.999,7
trial03_episode13_task180,0.9999,3
trial03_episode14_task020,0.9,7
trial03_episode14_task020,0.99,7
trial03_episode14_task020,0.999,7
trial03_episode14_task020,0.9999,4
trial03_episode14_task060,0.9,7
trial03_episode14_task060,0.99,7
trial03_episode14_task060,0.999,7
trial03_episode14_task060,0.9999,5
trial03_episode14_task100,0.9,7
trial03_episode14_task100,0.99,7
trial03_episode14_task100,0.999,7
trial03_episode14_task100,0.9999,5
trial03_episode14_task140,0.9,7
trial03_episode14_task140,0.99,7
trial03_episode14_task140,0.999,6
trial03_episode14_task140,0.9999,3
trial03_episode14_task180,0.9,7
trial03_episode14_task180,0.99,7
trial03_episode14_task180,0.999,6
trial03_episode14_task180,0.9999,2
trial03_episode15_task020,0.9,7
trial03_episode15_task020,0.99,7
trial03_episode15_task020,0.999,7
trial03_episode15_task020,0.9999,4
trial03_episode15_task060,0.9,7
trial03_episode15_task060,0.99,7
trial03_episode15_task060,0.999,6
trial03_episode15_task060,0.9999,2
trial03_episode15_task100,0.9,7
trial03_episode15_task100,0.99,7
trial03_episode15_task100,0.999,7
trial03_episode15_task100,0.9999,6
trial03_episode15_task140,0.9,7
trial03_episode15_task140,0.99,7
trial03_episode15_task140,0.999,6
trial03_episode15_task140,0.9999,1
trial03_episode15_task180,0.9,7
trial03_episode15_task180,0.99,7
trial03_episode15_task180,0.999,6
trial03_episode15_task180,0.9999,1
trial03_episode16_task020,0.9,7
trial03_episode16_task020,0.99,7
trial03_episode16_task020,0.999,6
trial03_episode16_task020,0.9999,1
trial03_episode16_task060,0.9,7
trial03_episode16_task060,0.99,7
trial03_episode16_task060,0.999,6
trial03_episode16_task060,0.9999,1
trial03_episode16_task100,0.9,7
trial03_episode16_task100,0.99,7
trial03_episode16_task100,0.999,6
trial03_episode16_task100,0.9999,2
trial03_episode16_task140,0.9,7
trial03_episode16_task140,0.99,7
trial03_episode16_task140,0.999,5
trial03_episode16_task140,0.9999,1
trial03_episode16_task180,0.9,7
trial03_episode16_task180,0.99,7
trial03_episode16_task180,0.999,6
trial03_episode16_task180,0.9999,1
trial03_episode17_task020,0.9,7
trial03_episode17_task020,0.99,7
trial03_episode17_task020,0.999,7
trial03_episode17_task020,0.9999,6
trial03_episode17_task060,0.9,7
trial03_episode17_task060,0.99,7
trial03_episode17_task060,0.999,7
trial03_episode17_task060,0.9999,6
trial03_episode17_task100,0.9,7
trial03_episode17_task100,0.99,7
trial03_episode17_task100,0.999,7
trial03_episode17_task100,0.9999,7
trial03_episode17_task140,0.9,7
trial03_episode17_task140,0.99,7
trial03_episode17_task140,0.999,7
trial03_episode17_task140,0.9999,4
trial03_episode17_task180,0.9,7
trial03_episode17_task180,0.99,7
trial03_episode17_task180,0.999,7
trial03_episode17_task180,0.9999,4
trial03_episode18_task020,0.9,7
trial03_episode18_task020,0.99,7
trial03_episode18_task020,0.999,7
trial03_episode18_task020,0.9999,6
trial03_episode18_task060,0.9,7
trial03_episode18_task060,0.99,7
trial03_episode18_task060,0.999,7
trial03_episode18_task060,0.9999,3
trial03_episode18_task100,0.9,7
trial03_episode18_task100,0.99,7
trial03_episode18_task100,0.999,7
trial03_episode18_task100,0.9999,6
trial03_episode18_task140,0.9,7
trial03_episode18_task140,0.99,7
trial03_episode18_task140,0.999,6
trial03_episode18_task140,0.9999,3
trial03_episode18_task180,0.9,7
trial03_episode18_task180,0.99,7
trial03_episode18_task180,0.999,6
trial03_episode18_task180,0.9999,3
trial03_episode19_task020,0.9,7
trial03_episode19_task020,0.99,7
trial03_episode19_task020,0.999,7
trial03_episode19_task020,0.9999,5
trial03_episode19_task060,0.9,7
trial03_episode19_task060,0.99,7
trial03_episode19_task060,0.999,7
trial03_episode19_task060,0.9999,4
trial03_episode19_task100,0.9,7
trial03_episode19_task100,0.99,7
trial03_episode19_task100,0.999,7
trial03_episode19_task100,0.9999,5
trial03_episode19_task140,0.9,7
trial03_episode19_task140,0.99,7
trial03_episode19_task140,0.999,7
trial03_episode19_task140,0.9999,4
trial03_episode19_task180,0.9,7
trial03_episode19_task180,0.99,7
trial03_episode19_task180,0.999,7
trial03_episode19_task180,0.9999,2
trial03_episode20_task020,0.9,7
trial03_episode20_task020,0.99,7
trial03_episode20_task020,0.999,7
trial03_episode20_task020,0.9999,7
trial03_episode20_task060,0.9,7
trial03_episode20_task060,0.99,7
trial03_episode20_task060,0.999,7
trial03_episode20_task060,0.9999,7
trial03_episode20_task100,0.9,7
trial03_episode20_task100,0.99,7
trial03_episode20_task100,0.999,7
trial03_episode20_task100,0.9999,7
trial03_episode20_task140,0.9,7
trial03_episode20_task140,0.99,7
trial03_episode20_task140,0.999,7
trial03_episode20_task140,0.9999,7
trial03_episode20_task180,0.9,7
trial03_episode20_task180,0.99,7
trial03_episode20_task180,0.999,7
trial03_episode20_task180,0.9999,7
trial04_episode01_task020,0.9,7
trial04_episode01_task020,0.99,7
trial04_episode01_task020,0.999,7
trial04_episode01_task020,0.9999,7
trial04_episode01_task060,0.9,7
trial04_episode01_task060,0.99,7
trial04_episode01_task060,0.999,7
trial04_episode01_task060,0.9999,7
trial04_episode01_task100,0.9,7
trial04_episode01_task100,0.99,7
trial04_episode01_task100,0.999,7
trial04_episode01_task100,0.9999,7
trial04_episode01_task140,0.9,7
trial04_episode01_task140,0.99,7
trial04_episode01_task140,0.999,7
trial04_episode01_task140,0.9999,6
trial04_episode01_task180,0.9,7
