state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,action_source,myopic_action,ppo_action,same_action,myopic_estimated_latency,ppo_estimated_latency,immediate_latency_gap,reliability_gap,rho_gap,q_ml_h1,q_ppo_h1,q_gap_ppo_minus_ml_h1,justified_h1,q_ml_h5,q_ppo_h5,q_gap_ppo_minus_ml_h5,justified_h5,q_ml_h10,q_ppo_h10,q_gap_ppo_minus_ml_h10,justified_h10,q_ml_h20,q_ppo_h20,q_gap_ppo_minus_ml_h20,justified_h20,q_ml_h50,q_ppo_h50,q_gap_ppo_minus_ml_h50,justified_h50
trial_000_ep1_task001,0,1,0.99,low,28,PPO sampled,5,27,False,0.7286241918429177,0.7286241918429177,0.0,0.00018935176606593718,-0.011458316075716263,0.0,0.0,0.0,False,289.92205262850894,289.92205262850894,0.0,False,310.847011807729,310.847011807729,0.0,False,489.0194672539979,489.0194672539979,0.0,False,542.4355910972027,542.4355910972027,0.0,False
trial_000_ep1_task001,0,1,0.99,low,28,PPO high probability,5,27,False,0.7286241918429177,0.7286241918429177,0.0,0.00018935176606593718,-0.011458316075716263,0.0,0.0,0.0,False,289.92205262850894,289.92205262850894,0.0,False,310.847011807729,310.847011807729,0.0,False,489.0194672539979,489.0194672539979,0.0,False,542.4355910972027,542.4355910972027,0.0,False
trial_000_ep1_task002,0,2,0.99,low,24,PPO sampled,6,4,False,1.3358726264455616,1.512260570566784,0.17638794412122238,0.0054089331641649085,0.04259843896746139,110.70609298906523,110.70609298906523,0.0,False,327.8626897336217,322.1356140316766,-5.727075701945125,False,350.97655342206144,345.38556867525443,-5.59098474680701,False,548.9459483623604,543.3549636155533,-5.590984746807067,False,609.3210740807449,603.7300893339378,-5.590984746807067,False
trial_000_ep1_task002,0,2,0.99,low,24,PPO high probability,6,27,False,1.3358726264455616,1.3358726264455616,0.0,0.007762684234188355,0.10131684153766508,110.70609298906523,0.0,-110.70609298906523,False,327.8626897336217,261.72247676750027,-66.14021296612145,False,350.97655342206144,282.2326048563132,-68.74394856574827,False,548.9459483623604,480.20199979661203,-68.74394856574833,False,609.3210740807449,540.5771255149965,-68.74394856574838,False
trial_000_ep1_task009,0,9,0.9,high,28,PPO sampled,6,21,False,1.6396430828780946,1.6396430828780946,0.0,0.007262122214876543,0.07358582532333614,0.0,0.0,0.0,False,159.1984389526548,103.81112287602197,-55.38731607663284,False,375.4971984423016,334.88153710905215,-40.61566133324948,False,522.0911562958004,481.4754949625509,-40.61566133324948,False,584.8863182511565,544.270656917907,-40.61566133324948,False
trial_000_ep1_task009,0,9,0.9,high,28,PPO high probability,6,27,False,1.6396430828780946,1.6396430828780946,0.0,0.00839962282431328,0.10131684153766508,0.0,0.0,0.0,False,159.1984389526548,159.1984389526548,0.0,False,375.4971984423016,375.4971984423016,0.0,False,522.0911562958004,522.0911562958004,0.0,False,584.8863182511565,584.8863182511565,0.0,False
trial_000_ep1_task010,0,10,0.999,high,16,PPO sampled,17,19,False,0.9377413472105691,1.3219555323080474,0.3842141850974783,0.00028291094742471934,0.17536280911317953,0.0,0.0,0.0,False,247.17144125018763,217.00616357268134,-30.165277677506282,False,428.853839082815,405.87154167092143,-22.98229741189357,False,557.9550695925057,534.9727721806121,-22.98229741189357,False,627.9915619389016,605.009264527008,-22.98229741189357,False
trial_000_ep1_task010,0,10,0.999,high,16,PPO high probability,17,27,False,0.9377413472105691,0.9377413472105691,0.0,0.00030778462965941333,0.09868420750713554,0.0,0.0,0.0,False,247.17144125018763,227.3777650347187,-19.793676215468935,False,428.853839082815,409.06016286734604,-19.793676215468963,False,557.9550695925057,538.1613933770367,-19.793676215468963,False,627.9915619389016,608.1978857234326,-19.793676215468963,False
trial_000_ep1_task011,0,11,0.9999,high,0,PPO sampled,25,25,True,4.162258145544273,4.162258145544273,0.0,0.0,0.0,0.0,0.0,0.0,False,341.992286604888,341.992286604888,0.0,False,510.9936117506133,510.9936117506133,0.0,False,601.4076019629096,601.4076019629096,0.0,False,672.6053252564933,672.6053252564933,0.0,False
trial_000_ep1_task011,0,11,0.9999,high,0,PPO high probability,25,25,True,4.162258145544273,4.162258145544273,0.0,0.0,0.0,0.0,0.0,0.0,False,341.992286604888,341.992286604888,0.0,False,510.9936117506133,510.9936117506133,0.0,False,601.4076019629096,601.4076019629096,0.0,False,672.6053252564933,672.6053252564933,0.0,False
